ques,skill
8646,109
10886,171
4210,65
7584,56
8071,174
2919,152
5247,61
10277,63
318,84
5645,107
5323,56
11126,8
196,94
11846,105
7556,78
3547,101
3607,152
272,89
346,38
5277,61
7591,72
8026,0
1517,34
8950,119
11501,43
9090,99
5406,67
9143,110
3587,35
15,59
9877,105
4700,26
1054,101
8060,119
3442,61
5622,72
1984,8
464,43
9247,59
105,110
573,178
5471,61
5984,57
11787,9
11542,178
9337,110
7458,27
6503,63
11403,19
3624,51
1609,107
5767,180
11405,65
4475,42
4962,160
1489,163
9703,59
9501,110
179,8
1901,107
1639,107
2571,87
6991,160
4728,114
1271,61
7580,151
9545,8
10494,157
11702,35
2032,159
1669,107
2863,87
7367,43
5614,99
6338,130
4496,114
4570,63
11254,30
5271,110
3089,26
6960,69
9575,8
1039,61
777,61
6502,130
9628,19
1950,103
5324,94
8001,157
9269,86
6683,141
5039,110
11486,164
4018,58
9376,148
8885,96
2281,58
4595,69
4457,135
9396,19
1957,119
7521,55
4780,7
7397,19
6504,152
3639,38
8174,61
7508,8
10166,21
6520,96
143,57
9766,87
5435,59
5495,110
5099,110
5233,110
7792,117
10518,72
11638,103
8998,107
10520,118
6587,163
3574,151
6603,107
1107,83
9453,98
2868,110
6302,152
168,63
7611,82
8368,61
131,181
4212,34
506,58
11323,68
4303,152
9129,159
8807,108
5307,8
11721,114
9706,170
6767,107
6371,107
2372,64
7105,102
11549,7
9460,114
9198,114
1392,43
8532,61
697,161
8713,72
9736,170
10709,151
3398,59
4421,157
2034,18
10374,53
9601,103
6565,107
1840,152
1914,101
6699,107
6294,21
4929,159
466,12
10295,110
1227,110
2388,142
2099,39
4815,30
2002,106
2464,137
3161,65
9723,69
6324,21
4730,107
5206,36
11752,69
2508,35
6740,57
551,69
2846,30
4785,164
4857,40
930,65
4727,159
1138,14
7725,48
4019,72
4153,72
4877,103
2499,107
5873,98
6805,78
6444,72
10296,65
11715,163
3523,26
749,30
1869,61
1904,55
9774,141
4581,118
4333,16
9512,141
8130,110
5544,165
351,142
4162,134
7670,125
9588,136
6,107
10326,65
11633,107
2660,159
544,163
4652,119
8422,110
5087,47
8160,110
9560,158
2521,0
432,107
1626,87
1230,87
11414,184
5536,58
5552,2
1718,26
11318,72
724,107
3401,170
3689,48
4050,27
4473,130
103,174
3417,114
8917,65
11827,107
11744,72
10016,158
9828,107
1465,88
5959,110
5274,7
9844,51
1327,154
3259,63
7722,18
8685,65
6183,3
8423,65
4193,89
9198,61
662,114
11512,72
4110,54
1988,21
9402,56
5966,126
878,119
4386,110
3990,110
3701,7
3802,59
8108,30
8966,61
6058,65
9642,51
7493,107
4540,146
7291,158
2236,99
10114,46
1454,63
8862,61
7876,30
11572,72
11250,21
5102,34
1893,110
8651,26
9408,5
872,58
11722,16
4357,65
1569,171
958,17
5322,158
8145,46
2319,110
1661,110
5357,152
11220,155
9341,72
8945,72
3133,34
10667,171
7559,107
4766,61
4801,55
1765,59
6333,30
1643,69
11835,27
11416,43
5268,56
3771,75
11715,110
1533,59
8283,114
9477,94
6538,31
9838,73
3750,137
2669,34
2871,168
4698,61
10386,63
5298,56
5358,107
8051,114
11633,54
6108,46
189,111
5712,46
8523,109
1515,18
2350,65
6161,57
9562,151
11527,8
5305,72
8840,166
9118,110
615,111
11844,65
3106,169
8703,53
5492,56
1066,168
5147,21
9379,43
5411,67
61,60
8657,58
2449,20
7306,94
9983,157
9620,105
1158,107
3076,118
10321,152
9089,65
9652,178
7125,59
8224,152
692,61
3342,21
10389,40
11748,87
4365,119
1828,36
7518,111
3445,119
6819,110
7939,141
4179,114
4820,110
7555,151
4286,176
722,61
2314,87
5005,48
8365,141
4471,114
4947,43
3887,63
4850,110
3864,79
11297,164
2210,114
10484,61
69,31
1148,61
6879,137
1018,180
10674,158
407,26
5324,151
902,5
11523,103
7353,178
8091,107
7728,55
1409,186
2514,94
2753,110
6820,65
7742,111
2332,53
8195,56
10495,169
4722,59
10833,164
6388,34
8669,97
7246,65
226,149
5821,152
8310,164
7625,61
1040,73
11560,119
4414,64
7528,128
3032,33
5249,111
2213,115
2648,43
8338,118
2887,59
4370,142
2947,110
2551,110
2625,59
6362,102
2289,110
3120,38
9400,144
6931,30
552,110
3986,152
9509,87
5689,9
5279,111
3016,65
6712,107
6450,107
8805,119
999,48
5792,107
6489,35
11420,58
2977,110
2581,110
1595,79
304,166
3791,34
716,110
11607,69
9617,155
6480,107
7255,103
11685,110
4219,107
4654,35
9686,110
5126,30
762,54
7768,72
7572,160
7310,160
6248,107
8999,119
11467,8
438,115
9015,63
10209,43
3987,107
9978,110
6942,114
7363,144
6014,61
11308,136
11324,80
3619,61
5572,93
11227,147
845,65
7902,48
8300,94
1944,158
8374,43
2849,35
7881,110
6359,72
5266,144
3387,61
7231,1
7596,99
8066,48
4098,72
5144,154
4436,67
1524,107
7474,109
9664,54
7212,109
7849,171
2656,148
9651,7
1552,61
3068,92
3732,72
7576,12
4986,103
5301,114
3160,31
10405,65
7196,141
10143,65
5055,58
11180,61
1978,61
11578,107
5255,119
2242,107
3815,83
5143,63
3324,31
10435,65
9342,137
4650,130
10173,65
3266,26
11499,164
3431,93
1746,61
1154,149
1723,77
1927,72
1665,72
11,107
5076,130
6994,141
6598,141
8128,70
11529,164
5719,172
297,97
1433,72
9000,157
11732,119
3664,48
1771,67
11594,185
7574,19
11693,164
3627,166
9009,61
1199,26
6419,152
6815,152
8485,61
3170,48
2174,83
5911,126
7738,19
7146,107
957,119
3673,110
2217,130
3370,109
3411,110
9596,164
6399,65
672,108
1183,58
9309,107
9092,72
8830,72
9587,51
8568,72
7176,107
3020,80
67,119
3575,110
9888,164
667,114
9626,164
4975,158
1599,94
5484,35
5905,65
1576,110
6942,61
7365,164
8860,72
8994,72
8672,21
7280,56
359,119
9771,114
10905,43
6972,61
7395,164
6448,61
7108,107
1657,48
3329,30
4847,107
805,182
7959,98
1710,59
1448,59
3003,18
157,146
3242,34
495,141
2413,152
2487,101
4217,61
9831,114
1800,110
160,43
2616,107
10789,2
6023,46
6501,21
4224,77
5303,107
9477,151
578,152
5041,107
8070,63
10747,126
2908,107
5791,46
8012,58
11718,34
9035,156
2014,15
9944,152
608,152
11439,60
7822,119
2676,107
3583,30
6697,94
9537,151
6276,37
1584,30
4261,93
5818,125
5018,72
5719,119
5591,119
6329,48
11293,19
5795,114
6989,94
7123,94
2685,169
9779,34
4388,26
876,101
11808,61
4860,21
6778,32
7306,151
607,61
1267,107
871,107
2997,67
6734,110
6200,176
7641,33
239,15
1097,46
899,61
6523,48
9627,178
1872,42
6063,63
9901,158
6764,110
4262,48
6442,59
6502,110
4862,43
4996,43
2583,26
8199,152
172,82
10688,164
2397,21
671,180
456,26
4929,110
4607,59
11687,26
6997,65
5706,152
5444,152
9690,72
6710,8
488,72
7298,178
8170,107
10960,47
4771,59
4435,110
8547,30
9801,61
6196,137
4787,3
3267,38
518,72
4725,64
9361,139
7179,55
2514,151
6737,87
2301,43
2332,110
5504,152
5638,152
7570,61
4722,116
4796,65
7358,178
3414,34
10544,118
7968,107
5309,61
1721,114
11698,110
4585,3
6441,102
1986,8
2908,54
8398,41
7503,128
2448,69
8757,159
3609,101
10615,119
5923,112
11225,48
6436,108
1466,130
2660,110
2264,110
8315,164
6510,30
8026,61
11253,2
7681,26
4668,14
3,110
7780,5
8341,72
5765,61
11059,136
8079,72
2595,65
8689,1
10698,130
11570,59
9990,43
3506,107
1687,75
7375,77
181,8
7278,144
5510,77
8810,119
408,172
45,120
3534,61
5848,72
3272,61
1940,147
8564,63
7578,32
6871,170
1717,75
9372,7
473,8
5926,113
4173,169
7951,21
2469,87
1770,86
6600,57
8291,89
9075,171
3698,61
11442,8
9749,115
11741,75
9691,110
9765,59
7189,48
8369,130
6655,114
5982,21
7525,155
9779,115
5780,72
4751,159
8300,151
7541,99
1333,61
9855,110
3647,72
9607,8
9271,59
3123,72
6819,114
6893,63
1731,107
10294,157
1106,55
7493,58
7479,160
5674,26
4820,114
9924,65
10058,65
6773,119
4634,109
5028,36
4073,72
1497,61
3811,72
3415,72
11419,158
1936,108
4176,170
1633,107
7376,8
2596,154
9230,34
10350,65
6745,141
3181,26
4738,58
2228,108
1603,56
5414,48
7654,110
7788,110
386,92
3729,16
1580,72
1184,72
8751,157
7033,177
2019,119
8431,152
11155,61
3345,26
4506,58
2357,114
10497,61
11118,179
688,26
8896,107
1783,0
5497,59
5161,110
6677,141
7489,19
11723,114
9407,30
5138,126
2597,109
4925,18
9023,40
7600,8
1512,72
8664,107
334,36
11638,164
5399,59
2813,114
3250,115
11524,62
1334,150
3400,59
5277,69
748,26
6438,101
5904,167
9426,56
11183,119
5295,59
9603,103
9240,51
2296,130
3430,59
1611,27
3094,110
9541,164
8594,61
1054,109
6447,163
8761,174
3122,64
5376,24
6993,107
6597,107
11105,27
408,119
5205,142
9571,164
3476,3
8032,149
6576,169
1521,110
5965,15
863,110
896,58
2418,69
2492,18
6625,61
9201,72
8939,72
6792,174
553,69
1599,151
9601,164
9716,114
776,114
4762,107
7602,164
2409,141
9033,57
4723,152
8573,72
8707,72
2499,34
4477,96
9730,170
7154,159
2763,80
4394,61
5151,40
9746,114
9820,63
9424,63
4658,107
1416,43
5664,36
7147,119
1655,59
7370,164
6557,61
4424,61
6738,72
344,29
1027,59
4859,174
5160,102
6430,77
10474,48
6506,72
3930,61
261,152
5949,154
2327,61
10453,110
1950,111
7941,114
2853,107
2591,107
8114,42
3422,35
2329,107
11663,34
8850,110
7695,58
6313,27
7598,125
3236,30
2570,169
6214,21
9650,136
10522,65
1237,30
2357,61
4349,21
5106,0
5543,1
7199,12
5110,119
11827,34
8222,110
11730,101
7275,7
1389,20
10814,65
9828,34
10948,65
10290,65
5524,109
6093,37
2387,61
4701,72
2216,179
2389,107
8192,59
8648,110
3560,103
5478,114
786,107
887,159
11240,65
4032,98
7373,141
10716,65
4071,26
11318,133
11753,61
3217,114
5853,176
6989,151
5566,119
4124,37
7123,151
2604,72
4885,135
6702,94
191,55
1748,87
5196,27
2969,170
1090,87
6679,110
6417,110
1461,30
2498,26
3659,58
7415,151
582,61
609,164
718,107
7342,23
3351,63
3485,63
8777,65
8911,65
4984,90
11297,144
350,61
4161,53
11678,21
88,61
9554,107
9628,56
3975,48
1523,103
8011,158
7326,55
4478,110
3954,110
5074,141
9716,61
1240,165
6546,65
9980,107
1914,109
9718,107
3933,172
1990,104
4642,110
4246,110
3924,59
4380,110
10035,164
9484,61
11664,72
6314,65
2381,110
1622,58
1723,110
3239,141
8036,164
3278,69
4431,48
9799,72
11282,155
7749,107
10366,119
252,37
7258,55
6043,137
8371,46
5358,34
9169,26
229,26
173,94
6133,30
11050,155
4877,111
4118,59
8292,103
4268,3
985,130
1857,59
9933,21
3785,34
1112,90
3424,28
10908,48
8194,103
9815,150
11246,43
5222,122
3081,39
9569,94
6193,30
10691,171
7267,93
7762,72
3670,30
4790,61
7500,72
10874,63
4955,128
11179,110
2313,59
8405,114
8615,109
112,110
850,39
5082,61
7396,72
9825,33
11382,65
2442,65
889,152
11491,8
11755,54
9740,110
404,110
142,110
6570,114
10977,137
2808,14
3198,169
5774,180
2523,30
3247,61
5561,72
5165,72
9867,43
7021,171
2162,24
9710,59
11440,19
4480,154
4323,170
3149,61
3066,26
3675,107
1016,61
2532,92
9612,59
1150,61
6764,114
1676,107
1736,158
1810,107
7539,110
6444,109
5136,27
3441,61
5433,21
2265,98
4216,57
9642,59
2341,93
3494,72
3098,72
2836,72
10269,157
1578,107
5463,48
3114,16
3933,119
5824,27
8501,90
5331,94
10033,65
4807,94
2730,26
6601,69
6636,63
10548,107
964,5
7351,8
8285,34
11127,164
1052,10
8963,97
11203,159
4527,53
2378,109
2149,57
11772,87
7515,8
1367,21
1031,72
6622,141
4481,58
11291,164
10606,61
647,82
8828,30
10344,61
6712,34
8731,97
1059,26
663,26
4138,69
5654,100
8345,61
8347,107
8646,174
5022,8
10636,61
5709,157
3271,110
3009,110
4941,19
5323,121
8113,61
9035,107
11087,118
3060,48
9548,103
6970,19
3398,43
799,48
3039,110
2280,58
3763,141
4971,19
11313,57
2455,59
1385,145
10135,21
281,58
341,109
4474,152
9293,119
1091,48
3405,59
1586,27
2673,110
2747,59
8569,61
8173,61
181,12
2784,126
1070,110
9344,57
9385,58
10142,37
7566,26
109,109
6570,61
348,125
5650,61
917,53
9818,98
10952,27
1331,43
10591,21
4049,107
7745,149
5940,15
7060,46
7819,98
8691,27
838,110
972,110
7285,164
4822,30
6338,61
9468,69
165,17
1763,50
9691,114
4737,107
342,64
10039,43
10466,110
4910,35
9519,7
4376,101
5537,133
4829,46
5687,77
9121,119
4107,61
4243,107
10368,110
9213,58
11141,33
7233,108
9662,69
4956,164
3151,30
4271,61
6451,72
10437,65
9241,12
2221,96
2658,97
4871,56
7548,119
1614,61
7624,114
717,75
2670,107
8958,74
11608,34
11773,101
3866,133
4986,164
4301,61
3905,61
5701,109
3958,72
1145,148
11277,55
2304,107
5418,171
5166,108
381,102
3017,164
1674,61
2130,112
5559,2
4122,72
11670,107
8766,38
10399,65
9108,152
2900,114
5214,125
8252,167
6136,171
3560,160
5612,171
2250,5
5987,48
8301,59
8361,110
2153,72
2780,170
6624,110
6362,110
5663,109
1645,16
11728,61
3326,114
11493,164
11204,61
7296,136
2544,78
2148,78
1261,26
6227,43
6392,110
10376,30
3094,114
3869,110
2050,78
1291,26
1417,165
9237,107
4182,48
11699,16
6234,59
348,72
3124,114
8203,35
3363,130
4161,110
863,114
9003,61
11317,72
4049,54
1141,58
3851,69
4026,43
3929,110
3607,59
4063,110
5558,18
1953,94
645,12
1765,43
1668,110
1305,58
8057,159
9038,31
4808,55
1795,43
5303,34
900,130
3517,142
5816,30
9512,72
10475,119
7274,56
11176,166
1883,48
5275,56
4972,55
3547,142
10701,58
1936,59
298,38
4342,9
3946,9
5627,107
9539,151
10929,43
5103,107
3104,107
3424,85
3102,34
8833,110
66,38
2743,101
2817,50
5393,61
5131,61
4735,61
4712,77
5133,107
2736,61
2474,61
3718,158
9383,146
3530,107
8863,110
1593,19
7976,58
3907,30
11327,65
4682,26
9599,151
2900,61
5781,119
8095,130
11479,55
9027,110
87,110
188,162
7313,94
986,142
1495,19
11357,65
1472,35
1241,102
4848,72
11509,55
5683,119
11385,19
8795,110
6417,114
3872,170
195,178
9529,105
1764,35
11810,168
3358,107
9497,8
6981,48
1095,61
6414,166
10299,107
472,55
7222,110
6999,38
4984,94
32,133
2647,72
2781,72
6856,110
782,72
4156,63
3820,114
5715,141
5164,38
2151,26
10491,61
5651,156
11751,72
10681,158
548,26
5331,151
10262,174
4246,114
4058,63
4658,58
5155,110
5590,38
2381,114
5493,105
3938,119
7487,111
4317,115
7503,55
11735,77
10353,46
10974,164
196,82
8938,97
3821,69
7517,111
4608,75
7660,15
5103,54
10832,57
2296,110
9541,144
1112,94
9976,72
9714,72
7584,178
11436,171
5797,61
2384,115
7618,139
6878,137
5702,174
2722,110
7692,61
820,43
7826,61
11522,103
4295,86
4328,34
4231,101
8403,72
5827,61
9624,155
7745,72
6487,107
4358,34
3962,34
431,59
491,110
5595,61
1926,152
8610,119
2460,59
4390,107
3994,107
3631,55
752,43
5972,169
9360,58
7541,26
521,110
11752,110
9448,63
8355,135
227,13
6775,119
551,110
9565,59
229,59
685,110
5655,61
1763,107
4077,118
2120,152
3790,61
7486,103
2769,9
6640,52
4450,107
9381,130
7677,48
10313,110
11373,90
4963,103
3482,66
7279,160
648,19
745,137
1180,65
6895,170
7841,48
11481,158
7045,114
1897,56
1594,55
4912,114
8024,105
2594,169
6238,21
10412,65
5976,21
10150,65
3505,26
3639,26
3243,26
5122,109
3507,72
11585,107
11189,107
1552,179
1624,55
1725,107
7454,110
1642,72
3496,98
10180,65
9285,152
3273,26
237,30
3349,21
2132,57
8142,110
7558,59
1672,72
2718,154
7296,59
610,19
587,35
3002,98
4136,27
4819,57
5619,110
3437,26
2845,114
11408,164
1783,61
401,30
7949,65
3183,109
1304,26
2820,57
11309,158
2558,57
11533,51
9518,107
7977,19
7581,19
3271,114
6597,34
7717,65
9439,164
5314,12
709,159
5679,110
7195,141
11468,164
10059,30
6514,157
306,119
6792,101
2793,58
9603,164
9207,164
6144,65
4812,151
2993,119
3469,48
9883,154
9594,51
10089,30
6921,107
10528,77
3582,110
7016,152
9633,164
8552,61
7492,81
9371,164
562,58
7372,164
6687,61
9987,103
9362,51
9663,164
8978,61
6979,61
2906,69
4859,101
9165,72
9889,103
10837,27
10942,43
7034,118
1321,59
8090,164
1018,58
6538,72
4449,179
1747,59
1149,110
7200,164
532,141
3479,65
7672,159
705,69
839,69
443,69
4650,61
7212,174
2124,167
3629,9
5236,158
4652,107
8859,99
323,152
3967,4
10515,110
11212,38
1649,59
1418,126
11175,156
5839,47
4969,164
4418,61
786,34
6410,21
10106,63
11300,43
10821,8
11203,110
2419,61
7711,63
864,75
6760,26
6364,26
7921,58
18,54
11272,65
5807,108
4365,26
2845,61
4441,21
2278,179
7935,114
968,24
6336,48
8213,58
8347,58
1005,91
6010,63
5327,6
4267,26
6581,37
2875,61
7313,151
6253,171
2877,107
3314,108
5628,119
9002,110
10559,142
6500,48
4483,31
9589,55
11070,65
6741,110
4485,77
10463,30
11583,61
10801,25
382,61
9372,178
9485,55
5808,63
9982,107
2599,139
5546,63
780,107
4269,48
3735,114
1759,98
2724,26
5877,18
674,61
2365,93
5838,63
3138,16
4695,48
1420,36
6673,110
4637,43
10657,30
2358,26
3841,109
2230,26
2434,21
2568,21
97,26
9780,107
1316,36
6703,110
4366,115
3533,114
7552,55
5428,141
6548,172
5240,90
1668,114
8426,30
606,61
4780,105
5826,187
9334,178
8552,142
525,72
7945,107
2494,48
3251,27
4808,59
2593,27
7961,51
1848,58
4028,69
1487,52
11184,31
10592,119
1390,119
5335,111
6531,137
9523,26
1804,109
2241,110
3757,141
8292,164
6883,30
8030,164
6450,148
8764,159
11119,171
7743,107
1906,12
4187,75
5482,107
2667,110
2345,59
8322,164
5985,169
7426,26
5510,61
10802,63
9282,98
6681,30
6285,30
1292,95
7794,21
7592,72
8951,119
8555,119
5542,107
11667,110
3279,61
1023,28
11116,7
2060,24
9802,110
70,110
144,59
3753,102
5570,61
5308,61
5910,129
7300,21
9832,110
5734,61
6247,57
8082,33
1161,96
9466,110
9614,8
9204,110
338,59
7088,114
8282,94
9352,8
11532,19
9552,69
1511,101
2383,30
10065,65
3818,72
7128,48
9308,59
9764,110
180,8
9681,75
3459,139
3880,169
11353,30
5888,73
4745,58
6548,119
2926,26
7816,48
3017,144
9546,8
4683,119
4101,114
8234,157
9467,65
7774,172
9954,183
8646,101
1302,61
9576,8
11560,107
3354,72
11471,35
6047,79
4789,114
5168,110
6684,141
11219,164
10305,9
9336,147
7894,65
2503,57
6341,152
5353,48
7607,8
1781,72
9067,107
8805,107
2220,119
5198,110
10698,61
10436,61
1077,77
2634,109
2009,57
5383,48
11147,72
8175,61
8513,56
9270,35
4564,130
7294,19
10441,31
7032,19
11547,164
3363,110
9548,164
10979,57
3274,38
3701,105
4790,69
6273,152
1993,89
2657,69
8999,107
5466,59
7000,107
1370,83
10984,27
3527,110
9578,164
8893,61
95,114
1652,146
8369,61
11646,119
11722,114
9969,170
5500,178
9707,170
11375,6
7409,103
4965,19
8900,77
974,59
7347,164
671,58
8056,72
10782,27
3399,59
6453,72
2815,8
206,79
1460,110
7377,164
1138,59
7511,164
9338,57
8744,72
10070,171
3429,59
1340,166
9535,12
11474,146
8813,27
3309,142
1228,110
7145,164
5736,30
2341,101
522,69
2005,152
4333,61
3937,61
8505,32
7932,170
5428,35
8105,98
614,8
11670,34
4625,61
10115,48
4101,61
4878,103
2500,107
8128,58
2935,35
8926,38
3997,61
5055,180
5564,57
4184,72
11732,107
2396,107
950,91
9513,141
7312,7
8121,176
9469,34
10327,65
10090,152
506,50
304,101
1438,30
8444,48
11597,40
5835,119
11762,107
8027,110
6274,166
2597,174
5589,63
6012,166
957,107
10357,65
2291,67
7148,141
9858,152
3388,114
5603,119
2245,72
9591,158
3268,170
725,107
3402,170
6454,110
10700,30
1500,103
11558,61
3913,93
9180,65
1442,98
8934,9
2671,72
95,61
6261,65
359,107
6296,59
3844,114
3448,114
4223,110
8686,65
9403,56
4670,48
10459,102
11317,133
11752,61
879,119
11729,77
4387,110
3702,7
2807,94
4898,33
1763,58
7527,55
909,119
6236,142
8005,30
723,114
962,130
10692,57
8207,164
6140,30
4109,115
7262,107
7295,55
1945,48
4259,59
2448,110
1823,58
1864,59
6418,132
3530,34
10930,171
7628,56
11064,171
5112,96
8123,35
1614,69
10915,48
7778,0
2313,43
8044,119
5501,56
2216,110
1894,59
6697,82
11356,171
1345,2
5915,46
15,161
11094,171
9522,16
1695,7
3893,35
9476,21
4027,35
1674,69
11734,100
4499,30
5223,61
11389,65
8500,119
8238,119
11612,110
11364,8
5524,174
4880,72
8650,63
3226,107
1283,39
5253,61
1023,85
6014,159
9563,151
3388,61
11528,8
7298,32
9538,94
1002,147
3652,107
7636,27
616,111
8059,130
1414,91
6937,26
8857,110
6056,11
7162,144
6840,93
7277,94
4503,98
9098,172
5470,72
5148,21
11488,178
5775,119
6909,48
9297,8
8887,110
4327,30
1481,158
3339,118
8862,53
3077,118
1062,174
1497,102
3448,61
3052,61
4782,21
1738,164
9649,59
3501,72
925,61
2843,72
1847,107
10812,137
3825,169
6951,58
4736,26
10040,65
4313,108
1506,164
7103,48
1217,61
10914,40
9683,178
7938,95
1615,107
1219,107
3681,16
497,122
8179,157
4046,114
5240,94
1010,118
3759,57
187,81
985,61
723,61
2715,21
11645,87
2940,139
7112,110
4851,110
11298,164
2211,114
5645,156
10615,107
2227,58
7579,111
11524,103
11237,46
84,87
4881,110
4955,59
2181,63
2315,63
10119,61
5716,157
6487,34
7271,116
4383,18
9042,107
11719,170
8196,56
10545,61
2083,63
295,98
3442,110
489,149
8808,61
6768,30
10598,72
8810,107
6384,40
360,119
10271,27
11350,57
477,115
553,110
2370,69
6315,61
6676,40
8615,174
2768,115
431,120
7148,35
6752,35
3502,110
3240,110
7789,31
6828,30
1076,43
2122,125
3679,157
468,160
4017,152
5225,30
6743,107
6347,107
6481,107
9098,119
2150,79
3270,110
9799,166
4940,19
1271,110
613,110
8163,26
761,8
4443,152
1159,54
7573,160
6773,107
1423,100
2980,132
5556,143
3852,61
7346,154
1835,44
816,65
4116,107
439,115
7263,119
8496,27
1039,110
5023,30
531,54
7716,37
4963,164
6444,174
6532,21
7417,155
409,64
8165,48
5909,15
9747,110
6973,114
7121,12
5187,30
421,74
8144,110
9833,69
5034,165
3650,61
6360,72
1635,117
5642,21
7933,48
1684,9
11806,137
7489,7
3779,67
9729,69
3393,31
6330,21
9518,34
4738,180
5435,108
8984,100
9405,130
11774,40
2572,40
3733,72
2737,107
5018,170
7144,130
2378,174
7063,141
10406,65
4157,26
1845,61
4918,124
3837,21
8630,110
11618,35
1288,143
11420,50
3925,26
2937,114
11500,164
11607,61
10,61
1666,72
9247,55
8837,157
1072,87
2629,119
447,35
5774,58
7692,69
350,102
11530,164
8467,65
1084,97
11556,72
40,61
3853,99
341,174
11595,185
10151,30
4302,110
7018,101
11586,72
9010,61
11324,72
2122,72
9408,107
7828,91
109,174
7147,107
4332,110
1756,99
3936,110
4010,59
9987,164
9040,61
9174,61
10335,93
6400,65
9017,77
1312,58
3230,69
2968,69
9093,72
8031,19
7251,56
9813,169
1860,48
7474,101
3838,110
9889,164
4479,106
11518,72
1600,94
11798,89
1443,110
7494,164
6943,61
9618,51
7281,56
4130,110
7448,169
1892,94
7260,118
5243,101
124,27
7524,164
1285,59
4719,101
6973,61
6711,61
4199,65
9025,72
936,63
7292,164
11210,53
1177,125
8160,159
8215,58
10414,119
2414,152
11024,48
2785,95
5536,107
2778,55
7695,180
7299,180
2741,173
6824,72
5566,107
10637,110
8884,166
1771,59
6702,82
8333,63
267,38
1898,19
7192,94
6359,93
7190,21
9982,34
5563,159
5274,56
4255,77
3622,164
2937,61
2675,61
2939,107
3073,107
9460,110
8761,109
835,91
9536,105
11394,65
12,54
8096,69
9175,99
2967,61
1148,29
4623,72
1810,148
8131,63
7277,151
9531,111
8832,110
6454,114
3441,102
3680,118
6990,94
2948,169
11162,65
6792,109
840,34
10267,152
3797,114
877,101
4030,93
11463,178
2390,26
6509,171
736,61
7416,94
11326,65
5440,78
7071,59
6735,110
8290,69
3961,114
4833,43
7436,157
8112,147
3649,0
2556,72
916,5
9479,55
9875,55
4713,99
654,5
1126,0
10817,164
4502,37
173,82
907,77
10268,107
4817,48
2623,139
6795,110
4021,114
8663,34
8401,34
1422,119
2179,98
6485,69
1498,114
6429,137
5441,33
8440,147
2915,139
5969,152
5263,111
4564,110
4698,110
11101,57
11596,36
781,72
