ques,bundle
285,149
7136,5248
1759,1166
6487,4802
6294,4636
2072,1397
3782,2691
8985,6620
3608,2575
2517,1784
889,529
2577,1835
3358,2400
10951,8099
1749,1158
9636,7075
5928,4286
9842,7180
451,303
556,356
3794,2701
11013,8159
2238,1551
6925,5149
901,539
10331,7573
7251,5319
11003,8151
6915,5141
4296,3033
4122,2917
6848,5087
396,259
2139,1464
7409,5383
1677,1110
9605,7065
2391,1685
7788,5645
3466,2468
11252,8333
11334,8372
5995,4353
3488,2486
9117,6752
2305,1618
10398,7640
7566,5488
97,47
7550,5480
11349,8387
1853,1228
9867,7186
8924,6559
5369,3783
7010,5206
7029,5219
90,44
9406,6976
5772,4136
6646,4929
3160,2253
3647,2600
5684,4060
7855,5712
8636,6277
7165,5265
1200,784
7022,5216
229,95
2013,1338
7725,5602
9380,6960
2780,1968
3995,2825
9399,6973
10106,7360
1190,776
11293,8347
3172,2263
3994,2829
10465,7707
4940,3498
291,155
6954,5166
8991,6626
9392,6970
6231,4579
10530,7772
243,114
657,397
4850,3460
8115,5908
233,106
8722,6357
4527,3221
6375,4708
1058,677
4986,3506
4318,3047
6453,4776
8089,5892
1048,669
2483,1758
5282,3733
3577,2554
1070,687
1617,1085
2145,1470
4330,3057
627,383
9811,7159
6724,4983
2416,1704
6743,4996
7199,5276
6803,5047
10597,7839
5294,3743
5547,3923
6001,4359
10868,8073
5145,3620
9123,6758
100,48
2772,1982
432,292
4974,3509
3737,2664
9246,6865
784,451
3860,2734
7032,5220
11139,8243
112,58
2784,1992
8854,6489
5160,3635
777,448
11303,8351
8383,6086
694,413
11132,8240
6068,4426
8487,6143
6895,5107
5212,3687
9424,6992
10086,7340
3178,2269
5449,3859
2543,1758
6130,4486
7961,5804
4860,3464
4645,3310
7303,5346
11789,8631
11206,8310
246,115
5502,3870
3129,2232
2645,1890
5864,4222
6545,4849
8140,5927
7906,5760
8728,6363
258,125
11804,8646
3609,2576
469,308
7609,5510
8304,6035
10267,7509
4362,3079
1029,645
3520,2504
7066,5231
6197,4553
2489,1764
10197,7450
10216,7463
3583,2560
4352,3071
6408,4736
10942,8092
3766,2681
3785,2694
10603,7845
2441,1723
2988,2121
3149,2224
4123,2918
11523,8488
5931,4289
10934,8093
8229,5982
9623,7070
11247,8324
3759,2678
2448,1618
2241,1554
704,417
10334,7576
11722,8590
2790,1998
4299,3036
8860,6495
697,414
1541,1035
11613,8539
10670,7912
190,88
1680,1113
5620,3996
7791,5648
8572,6213
11337,8375
7541,5473
5256,3719
10023,7283
4651,3316
7001,5199
3295,2291
4224,2983
6619,4905
5805,4163
11212,8316
3151,2246
8927,6562
7156,5258
1191,777
4451,3147
5738,4109
7013,5209
2345,1624
7159,5263
10466,7708
11541,8491
159,78
472,309
6649,4932
9393,6971
4725,3386
8639,6280
2660,1901
11075,8203
11094,8216
2066,1391
10159,7413
11553,8501
9383,6963
6222,4572
10222,7469
6414,4742
1765,1170
2947,2079
294,158
9839,7179
338,201
2081,1406
6303,4645
6344,4683
11526,8489
10533,7775
5937,4295
2203,1517
9059,6694
726,431
2247,1560
6782,5030
9292,6902
10340,7582
3568,2547
6804,5048
10952,8109
4305,3042
9802,7152
4972,3505
5519,3903
5269,3728
10650,7892
7123,5215
7797,5654
8578,6219
7208,5259
4082,2889
6004,4362
1382,893
5148,3623
103,51
10407,7649
3781,2668
4754,3403
8933,6568
11297,8349
2942,2098
5213,3688
5378,3792
3843,2728
1336,898
5718,4089
9663,7087
3653,2604
11306,8354
9415,6985
6655,4938
7864,5721
8645,6286
9519,7042
8664,6299
6604,4892
10884,8072
11283,8343
5452,3862
6133,4489
4863,3467
300,164
7607,5506
2636,1883
860,501
9000,6635
11672,8569
3095,2205
6388,4715
2547,1811
10539,7781
3347,2389
6198,4554
7514,5463
5002,3518
4353,3072
6956,5172
6321,4661
6975,5185
4163,2948
1004,630
8288,6025
4327,3056
10270,7512
4365,3082
2432,1716
6759,5008
2492,1767
5525,3909
7421,5393
3292,2345
3586,2563
8796,6431
531,339
6749,5000
3750,2671
4088,2895
781,450
3620,2561
1113,694
9132,6767
49,6
10728,7959
10387,7629
9444,7002
9194,6827
5340,3755
691,412
8146,5918
11129,8239
11148,8252
11623,8545
2793,2001
8863,6498
10793,8024
9456,7012
1729,1084
9542,7052
1819,1206
5673,4049
7094,5240
8575,6216
3671,2620
2002,1327
5474,3876
10095,7349
6139,4495
5726,4097
5325,3753
5858,4216
6985,5189
8134,5921
4445,3145
10883,8075
8980,6615
11215,8319
169,84
3622,2583
466,307
8301,6034
11066,8196
3951,2795
42,16
5873,4231
10213,7462
8294,6031
10276,7518
579,369
2069,1394
7569,5491
10162,7416
8417,6101
6206,4562
11520,8487
10890,8091
11010,8156
6922,5146
10328,7570
7353,5369
9302,6908
3898,2760
4293,3030
8238,5991
7988,5816
2250,1563
5510,3896
9295,6905
10343,7585
11626,8546
11610,8538
2312,1623
4308,3045
5443,3842
5522,3906
10704,7941
3216,2295
3235,2308
6057,4415
7800,5657
8581,6222
11077,8159
10101,7355
3167,2258
7007,5203
1603,1055
5245,3719
5751,4116
10460,7702
1267,840
3999,2825
7378,5375
7865,5722
8159,5940
6242,4582
3644,2597
4719,3380
1197,781
4741,3398
754,440
1494,1004
10475,7717
2796,1978
3074,2188
1130,727
8717,6352
747,437
2075,1400
6528,4831
3804,2707
10168,7422
8103,5900
10527,7769
3927,2777
4534,3226
638,386
9053,6688
9908,7202
3401,2438
6947,5165
863,504
6372,4705
4154,2941
3920,2774
3350,2392
6861,5098
4337,3062
2404,1696
3751,2672
5535,3915
1614,1082
1889,1250
2142,1467
22,9
10961,8118
126,66
3491,2489
11378,8406
9253,6870
10729,7960
9120,6755
11723,8589
2330,1639
10659,7901
7755,5617
967,574
9409,6979
2932,2094
1516,1018
1282,851
5222,3697
8367,6080
8661,6298
10024,7282
11486,8474
10796,8027
11692,8579
5727,4098
7088,5238
6494,4765
5446,3856
1136,733
253,120
3431,2451
7620,5513
5676,4052
11479,8471
11799,8641
11685,8576
7081,5235
5319,3751
5739,4108
3952,2796
7613,5510
6142,4498
4853,3463
9581,7062
11057,8189
75,6
5861,4219
5312,3748
8118,5911
8137,5924
6972,5184
10264,7506
3356,2398
6207,4563
2888,2064
6962,5176
2426,1710
6330,4670
8790,6425
3773,2686
1013,639
2568,1830
547,351
2985,2118
5550,3926
4800,3428
4120,2915
3889,2753
7347,5367
394,257
11142,8246
8857,6492
1548,1040
8241,5994
2303,1616
10737,7968
1355,645
1668,1105
11031,8149
9434,6998
9200,6831
9761,7127
10396,7638
4205,2851
4804,3439
494,316
7548,5478
11347,8385
1851,1226
10030,7288
1560,1050
2315,1626
5367,3781
10802,8033
487,313
3453,2465
1825,1210
9858,7181
11219,8321
4648,3313
3244,2291
5682,4058
7664,5545
2674,1909
7897,5753
81,39
11209,8313
2011,1336
10104,7358
10463,7705
2667,1906
5867,4225
8143,5930
7909,5763
8162,5943
9638,7070
8989,6624
6229,4577
10910,8101
10219,7466
3077,2191
231,104
11657,8560
2593,1849
4377,3092
4525,3219
2078,1403
3788,2697
968,599
6919,5145
9899,7195
11425,8439
8087,5890
7350,5368
5934,4292
208,93
400,263
2143,1468
4328,3055
9056,6691
3237,2301
9911,7205
2395,1689
9955,7248
6741,4994
4979,3510
6801,5045
5292,3741
5999,4357
4321,3052
6864,5101
8247,6000
4807,3440
7570,5492
3251,2320
2824,1987
110,56
11362,8396
3728,2659
5262,3727
7084,5225
3851,2729
1261,834
11130,8238
7391,5382
1638,1080
8191,5960
6066,4424
8590,6231
2017,1342
9422,6990
1194,780
3176,2267
5447,3857
7016,5212
10469,7711
1276,849
8168,5949
7934,5782
6652,4935
8995,6630
1127,726
1688,1022
11686,8577
5459,3867
8370,6083
7614,5511
11473,8469
1139,736
237,110
8726,6361
256,123
297,161
4844,3456
2084,1409
3032,2151
10177,7431
9984,7265
7064,5229
10536,7778
923,559
3581,2558
9062,6697
2569,1831
9917,7211
1447,973
10601,7843
6807,5051
1083,696
5551,3927
19,8
2429,1713
538,344
2682,1893
557,357
5541,3919
6756,5005
8793,6428
1016,642
2151,1476
12,5
2788,1996
10738,7969
9129,6764
8194,5961
10668,7910
6072,4430
5618,3994
1349,909
8570,6211
9191,6824
5216,3691
7539,5471
11145,8249
5488,3884
1219,799
1532,1030
11483,8473
4649,3314
11689,8578
9437,7001
1361,919
6617,4903
9203,6834
5803,4161
9602,7068
3678,2625
7532,5468
7551,5481
5481,3881
8313,6033
8373,6084
11210,8314
8925,6560
5231,3706
7696,5576
10805,8036
53,19
5736,4107
9741,7119
262,129
470,307
9639,7071
5685,4061
594,373
2658,1899
4442,3142
7372,5371
11652,8551
10220,7467
4356,3075
4568,3254
1763,1168
5870,4228
1909,1259
336,199
3789,2698
8992,6627
6232,4580
2505,1778
2524,1791
146,75
10273,7515
11749,8605
7351,5369
3779,2690
5935,4293
2435,1719
563,363
8398,6090
8799,6434
11416,8432
10338,7580
4303,3040
8511,6152
9965,7254
7397,5377
403,266
10674,7916
2806,2012
2825,2025
4315,3050
4944,3487
6725,4984
3473,2475
7561,5485
8007,5831
11341,8379
6002,4360
6709,4976
2755,1966
8866,6501
3021,2085
7981,5815
7554,5482
10405,7647
11353,8389
5809,4167
604,377
8931,6566
10827,8050
180,86
2005,1330
5376,3790
7017,5213
78,38
1334,896
7385,5380
10098,7352
11225,8325
597,374
5012,3513
2680,1913
5691,4067
7862,5719
7153,5259
8643,6284
4448,3148
8178,5955
2020,1345
9387,6967
5533,3895
10113,7367
6245,4589
3179,2270
10472,7714
11547,8497
4928,3492
5876,4234
4460,3158
298,162
11445,8449
3811,2712
1953,1291
6595,4887
8998,6633
3033,2152
6238,4586
10537,7779
3361,2368
4161,2946
240,113
8729,6364
205,92
1695,1117
7591,5498
4325,3054
4831,3451
4344,3067
8036,5848
3901,2763
2490,1765
5943,4301
7051,5224
3584,2561
631,385
409,272
2152,1477
3850,2717
9920,7214
10968,8123
11366,8398
3245,2314
3732,2661
6810,5054
10604,7846
6008,4366
10958,8115
5152,3627
8256,6009
9130,6765
668,388
5484,3871
10411,7653
3725,2658
8499,6144
5338,3753
11707,8583
2791,1999
8188,5959
9664,7086
1340,902
5328,3745
1210,792
1270,843
2939,2099
7868,5725
8121,5905
1435,910
8668,6303
6075,4433
9428,6994
1352,912
4744,3401
5219,3694
4023,2850
10478,7720
6137,4493
9361,6940
7291,5340
6620,4906
47,17
2865,2042
11796,8638
4547,3237
2630,1879
11064,8194
10916,8067
832,472
3930,2780
3949,2793
8735,6370
265,132
11811,8653
1840,1201
11076,8204
10274,7516
10186,7440
6397,4726
6204,4560
3692,2615
7425,5397
2575,1835
1952,624
10888,8089
9071,6706
2872,2058
9840,7180
1010,636
4909,3481
3754,2675
9926,7220
3286,2341
339,202
10610,7852
3270,2333
9,4
8802,6437
10732,7963
2248,1561
9293,6903
10341,7583
10662,7904
5745,4103
5612,3988
5483,3874
3165,2172
8867,6502
3464,2468
9207,6836
3863,2739
8498,6147
3701,2640
10677,7919
4046,2860
5627,4003
7798,5655
8579,6220
11344,8382
4890,3481
7529,5467
10027,7285
3226,2303
11154,8258
10799,8030
5730,4101
5749,4114
1661,1104
6623,4907
3140,2236
5812,4170
8934,6569
1492,1002
11089,8213
7916,5768
11548,8498
3955,2799
9378,6960
3740,2645
10918,8102
2588,1844
4372,3087
8438,6109
2901,2075
8646,6287
2920,2088
1925,1271
10166,7420
11560,8508
2518,1785
6210,4566
11645,8552
5542,3878
11015,8156
11034,8169
843,485
11429,8439
11534,8492
2451,1731
11635,8544
2998,2129
11413,8431
345,208
861,502
11638,8549
11739,8601
1218,776
11422,8436
5944,4302
2463,1741
6363,4700
2254,1567
2140,1465
4755,3390
10959,8116
9892,7194
11253,8334
6423,4687
625,383
5996,4354
3489,2487
5526,3910
10399,7641
1399,945
2328,1637
7804,5661
11350,8388
11369,8401
3248,2317
9244,6865
6011,4369
5370,3784
5155,3630
5755,4120
2340,1647
10414,7656
775,448
5385,3799
1283,854
1343,905
11294,8348
5444,3854
4735,3394
1134,731
5463,3867
1213,795
1273,846
11123,8237
7871,5728
8671,6306
11582,8522
6592,4886
3266,2199
2029,1354
1055,623
3672,2621
5456,3864
7266,5325
3422,2446
6140,4496
4851,3461
4469,3167
307,171
11055,8187
2511,1771
5310,3746
7278,5335
11660,8563
4279,3006
6376,4709
9007,6642
11090,8181
10546,7788
7588,5497
6960,5174
4167,2950
6328,4668
1071,688
2146,1471
9692,7095
9568,7059
2417,1705
6744,4997
7498,5459
1106,682
8026,5844
10598,7840
5548,3924
8399,6089
6826,5066
7428,5400
8209,5965
11372,8402
1687,1078
9266,6879
785,452
10613,7855
5117,3593
1703,1022
7479,5338
5101,3585
7759,5621
5161,3636
11720,8590
10735,7966
9198,6829
695,414
10028,7286
11155,8259
1659,1100
9425,6993
1368,924
3300,2294
688,411
4795,3434
6624,4908
5469,3873
1362,621
5087,3579
1238,814
11604,8536
6614,4900
6084,4442
1655,1102
5228,3703
6146,4502
5733,4104
2665,1904
11080,8206
8141,5928
7907,5761
259,126
11805,8647
9845,7178
1916,1264
3958,2802
1432,922
3075,2189
6220,4572
463,306
8744,6379
4549,3206
2572,1834
2591,1847
4375,3090
2885,2065
9571,7060
3767,2682
3786,2695
1928,1274
2442,1724
2989,2122
2521,1788
11423,8437
6213,4569
11648,8555
7434,5406
5932,4290
10894,8093
10878,8085
560,360
9935,7229
1019,645
2454,1734
3001,2132
3529,2517
10335,7577
11517,8486
7341,5363
8521,6162
7325,5355
4323,2526
4300,3037
6862,5099
8245,5998
10741,7972
2257,1570
7568,5490
3879,2751
10350,7592
11614,8540
4312,3047
5621,3997
10693,7931
7121,5215
9879,7189
7542,5474
4782,3427
3492,2490
4966,3507
2331,1640
6699,4970
7807,5664
8588,6229
7158,5255
8928,6563
4959,3504
5253,3722
3823,2711
5373,3787
4222,2982
10808,8039
7014,5210
10467,7709
5758,4123
7160,5264
7913,5767
8166,5947
5821,4179
7932,5780
9661,7087
11827,8661
5688,4064
6120,4475
1517,1019
7673,5556
1482,998
11554,8502
11573,8515
3983,2821
3081,2195
1137,734
4738,3397
2212,1517
235,108
840,484
2082,1407
3030,2149
11464,8464
6235,4583
10175,7429
2527,1794
1111,718
6386,4715
10534,7776
5938,4296
9484,7023
921,557
1215,775
4393,3106
9897,7192
4981,3505
310,174
4819,3443
731,433
4838,3456
5000,3518
7262,5325
3007,2138
9060,6695
9313,6912
9915,7209
6379,4712
1062,681
10953,8110
4828,3448
11250,8333
4578,3236
1438,968
7489,5452
536,342
622,382
10946,8107
7419,5393
2149,1474
1811,1186
548,352
6005,4363
4969,3508
9241,6864
1595,1073
3517,2509
9127,6762
4251,2999
7310,5342
522,336
9544,7050
7813,5670
3845,2725
772,447
1632,1076
5379,3793
11586,8524
9416,6986
9435,6999
1359,917
6656,4939
9540,7052
3841,2727
682,409
5331,3752
8665,6300
11681,8569
7694,5574
11579,8521
11598,8534
4005,2835
6248,4592
1792,1186
5453,3863
1143,740
8364,6079
260,127
7880,5737
7085,5237
11467,8465
4232,2962
3036,2155
3055,2168
8132,5921
6219,4564
9732,7114
10540,7782
11046,8179
3412,2442
7078,5234
6149,4505
4566,3252
6957,5173
6322,4662
5868,4226
6976,5186
7062,5226
4164,2949
8144,5931
6385,4718
10271,7513
4366,3083
2895,2071
8292,6031
2433,1717
1411,797
6760,5009
561,361
8797,6432
3587,2564
1020,646
2155,1480
10607,7849
2445,1727
9263,6878
5557,3933
7437,5409
5114,3592
9133,6768
7316,5348
11717,8589
2804,2010
813,474
3471,2473
2308,1614
5341,3756
8524,6165
11149,8253
8864,6499
5170,3645
10744,7975
185,87
2415,1676
4894,3481
7979,5813
7998,5826
685,410
6700,4971
2727,1948
4236,2986
11601,8535
5624,4000
2749,1966
10809,8040
491,315
7545,5477
4785,3430
3441,2459
4213,2975
5689,4065
7860,5717
9735,7115
7376,5375
11216,8320
2018,1343
8442,6109
10111,7365
1195,781
4607,3279
6496,4804
6155,4511
11067,8197
10470,7712
11545,8495
10215,7459
5874,4232
7369,5372
1932,1276
10915,8099
1951,1289
8169,5950
8996,6631
9851,7182
4581,3263
460,305
6236,4584
11019,8156
11814,8656
10277,7519
7137,5251
745,437
8064,5870
1944,1286
11642,8549
10226,7473
10996,8145
2600,1856
4931,3497
342,205
2085,1410
636,386
4829,3449
1035,657
10178,7432
5563,3939
3899,2761
5941,4299
924,560
407,270
9063,6698
2251,1564
10344,7586
6808,5052
6006,4364
9772,7131
1577,1061
3528,2481
1596,1074
4309,3046
8870,6505
8254,6007
2984,2088
1387,937
3236,2309
3255,2322
4242,2992
9682,7093
8582,6223
2770,1984
11037,8159
516,334
7174,5267
10052,7306
2363,1633
1268,841
3940,2775
4740,3390
7945,5787
6073,4431
8597,6238
1350,910
2953,2078
8937,6572
1495,1005
1280,851
10476,7718
5767,4132
11570,8514
4464,3162
1131,728
2860,2035
6492,4765
6659,4942
3097,2207
8374,6085
8358,6077
11563,8511
9999,7271
5317,3751
6251,4595
1146,743
8733,6368
304,168
7611,5510
7595,5502
2091,1416
9329,6924
10184,7438
10543,7785
5947,4305
930,566
4338,3063
9512,7045
4357,3076
6325,4665
9069,6704
1910,1260
7486,5451
9924,7218
3284,2339
10608,7850
3268,2331
7416,5392
10962,8119
147,76
10712,7944
2436,1720
6763,5012
8380,6078
8800,6435
9254,6871
11379,8407
121,60
2158,1483
2795,2003
6014,4372
3861,2737
9136,6771
2343,1650
10675,7917
1835,685
6079,4437
9537,7051
5344,3759
4888,3479
1536,1032
5476,3878
11152,8256
679,408
1286,857
10797,8028
5747,4112
5024,3525
9530,7048
4040,2860
9752,7124
5810,4168
1235,811
3432,2452
6684,4961
7520,5462
672,405
8674,6309
9736,7116
6677,4958
9729,7113
4772,3425
598,375
269,136
1566,1032
4449,3149
10549,7791
6331,4671
5877,4235
574,368
3793,2700
1935,1279
1745,1155
10280,7522
10987,8138
4125,2917
2461,1739
5260,3714
3536,2522
8806,6441
11404,8426
7348,5368
10345,7587
206,93
1157,581
9770,7127
11251,8332
10616,7858
5566,3942
810,473
3902,2764
11501,8480
9142,6777
2368,1669
410,273
5499,3888
11348,8386
3246,2315
5350,3765
10031,7289
11158,8262
10690,7928
8873,6508
7207,5257
11240,8331
6706,4975
2926,2081
10412,7654
8938,6573
10834,8057
9402,6973
10105,7359
9649,7079
766,443
2668,1907
7869,5726
8163,5944
3633,2589
8182,5957
8650,6291
2027,1352
3990,2826
4745,3402
10120,7374
10479,7721
4388,3101
847,489
4467,3165
5883,4241
11760,8609
3078,2192
11658,8561
9005,6640
11823,8665
10286,7528
2467,1745
7269,5330
9339,6930
11651,8558
6446,4768
7387,5322
4835,3453
7598,5505
4139,2932
9956,7249
1044,666
5950,4308
6865,5102
7426,5398
8248,6001
9807,7156
416,279
9072,6707
8017,5839
6735,4992
3736,2663
10353,7595
6015,4373
4239,2991
4277,3017
7482,5451
5159,3634
8263,6016
11382,8410
2344,1651
7187,5274
3,2
2761,1976
11711,8585
7750,5616
4677,3338
6067,4425
9672,7089
10840,8063
7097,5236
5025,3526
3829,2719
5085,3577
6394,4527
1277,850
10019,7281
8675,6310
6082,4440
2642,1880
5018,3523
5226,3701
5713,4085
7676,5559
8311,6033
8476,6137
11576,8518
1289,860
10485,7727
6144,4500
1963,1299
9597,7036
11474,8470
7279,5334
2971,2055
1140,737
3103,2211
257,124
3435,2455
7523,5465
10248,7491
11803,8645
9342,6931
7069,5231
3956,2800
6392,4723
4563,3249
6471,4787
8742,6377
313,177
2570,1832
4373,3088
2100,1425
1926,1272
1129,699
2519,1786
6404,4733
10552,7794
1736,1148
6211,4567
6830,5070
7432,5404
144,75
10978,8131
2876,2060
1900,1256
9078,6713
9828,7174
9933,7227
1017,643
828,478
2452,1732
3274,2335
11414,8432
1033,587
4109,2907
5478,3871
11407,8429
8809,6444
4908,3489
10669,7911
2359,1662
1323,807
5619,3995
8486,6141
1533,1031
2718,1945
6739,4965
3679,2626
9749,7123
4792,3435
6681,4960
3195,2284
5232,3707
10034,7292
3233,2310
5251,3720
11161,8265
1295,866
10806,8037
5737,4108
5756,4121
178,86
6690,4965
76,38
3128,2230
1184,769
475,309
3147,2243
5819,4177
595,374
7152,5255
11093,8215
4674,3335
11552,8500
9652,7082
4509,3204
4569,3255
2905,2077
2595,1851
4926,3492
9645,7079
3974,2816
2525,1792
1109,716
2778,1972
11754,8607
2604,1856
3091,2203
8080,5880
4391,3104
564,364
1023,649
7260,5323
3005,2136
11661,8564
3552,2534
352,215
2537,1802
3378,2418
11265,8335
10289,7531
203,92
972,603
9478,7023
4810,3438
8815,6450
2261,1574
4418,3099
9471,7020
2826,2026
527,337
9883,7193
6003,4361
8527,6168
1385,893
2740,1959
4249,2997
2838,2036
4856,3446
8001,5829
3426,2435
10406,7648
4078,2886
3704,2645
7811,5668
2752,1969
11167,8271
5377,3791
10812,8043
5762,4127
3637,2591
10421,7663
5333,3721
4598,3272
763,442
5692,4068
3839,2725
4680,3341
11118,8234
5774,4137
8179,5956
3649,2601
2021,1346
5433,3844
9655,7083
11577,8519
10114,7368
1790,1184
5451,3861
7667,5552
3832,2722
7878,5735
1954,1292
4920,3444
8172,5953
7289,5340
8999,6634
11671,8568
6239,4587
9343,6932
2036,1361
8355,6074
2610,1862
11044,8177
11063,8190
5892,4250
4476,3174
314,178
9317,6916
9014,6649
6383,4716
7592,5499
9500,7037
10181,7435
7053,5221
4026,2830
927,563
10969,8124
2153,1478
990,619
8030,5846
10605,7847
11386,8412
9261,6876
5555,3931
1654,784
6833,5073
7435,5407
7495,5458
10981,8134
3530,2518
5743,4103
5168,3643
10742,7973
4876,3471
6076,4434
1353,913
7970,5808
4009,2839
4028,2852
11592,8530
4653,3318
7884,5741
7963,5805
6091,4449
9590,7064
3138,2236
3198,2287
5235,3710
4779,3430
8421,6094
4185,2957
10494,7736
6153,4509
1652,1101
41,15
165,81
3131,2233
8736,6371
266,133
1740,1150
2996,2008
11812,8654
3064,2179
6398,4727
6417,4740
639,351
4512,3207
1752,1160
8751,6386
7128,5246
2873,2059
9927,7221
6350,4686
11411,8431
2528,1795
1112,719
11636,8549
7441,5413
5939,4297
447,302
11006,8153
9777,7132
9087,6722
2382,1677
4820,3444
9942,7236
1026,652
2249,1562
3555,2537
10342,7584
10875,8084
4289,3027
706,418
4307,3044
4813,3441
5272,3726
10748,7979
3883,2753
5271,3730
10678,7920
2829,2029
5628,4004
616,380
4069,2879
10700,7938
1171,602
4789,3434
5264,3727
2743,1962
10050,7304
4252,3000
175,85
3141,2237
3628,2584
5813,4171
9593,7065
3707,2648
4963,3506
5049,3546
5257,3724
8595,6236
8935,6570
5380,3794
10815,8046
5765,4130
1174,765
5828,4186
1781,1177
7658,5545
4585,3267
11818,8660
2921,2089
8950,6585
648,389
11561,8509
2024,1349
224,98
10117,7371
6249,4593
11830,8670
11035,8170
844,486
302,166
1938,1282
346,209
1074,682
2089,1414
3037,2156
1039,661
10182,7436
4258,2993
7276,5335
11639,8550
11028,8167
10541,7783
5945,4303
928,564
2464,1742
6750,4996
3011,2140
4988,3512
2376,1629
7586,5497
9067,6702
7250,5319
9320,6919
1051,671
7396,5373
9503,7040
10960,8117
9690,7095
2207,1527
3509,2501
413,276
2156,1481
8014,5836
8207,5965
5634,4010
2200,1524
435,294
11370,8402
5097,3576
6012,4370
8536,6177
9264,6879
4255,3001
4274,3014
3398,2377
9676,7089
8260,6013
9134,6769
10056,7310
2341,1648
10415,7657
11322,8361
7820,5677
3833,2719
5342,3757
10837,8060
5708,4080
1639,1083
5092,3582
5386,3800
1284,855
5171,3646
10430,7672
4626,3294
3430,2450
670,403
8672,6307
6506,4770
11583,8523
4689,3350
1970,1304
2030,1355
5442,3853
4012,2842
10123,7377
6255,4599
